deidentified_id_code,gender,gender_other,term,age,r_mem_s_4_text,r_mem_s_13_valence,race_primary,birth_country,ethnic_identify,ethnic_other,,,
3381,Man,[Decline to Answer],S19,22,Cutting my father and step-mother out of my life along with all associated family when I was in middle school,-2,White/Caucasian,Canada,Canadian,[Decline to Answer],,,
3383,Man,n/a,S19,19,I'm in grade 3 and we're playing a game where you need to act something out without speaking. It's my turn and the very first thing I do is try to explain what I'm doing with words. I am corrected by the teacher and I sit back down.,-2,Mixed,Canada,Canadian,n/a,,,
3388,Woman,[Decline to Answer],S19,NA,Doing something very stupid that make a girl hate me/ Stupid thing said and done/ Nightmares,-2,"East Asian (e.g. Chinese, Japanese, Korean)",China,Chinese,[Decline to Answer],,,
3389,Woman,N/A,S19,20,"Took a carpool home from Waterloo. Although I discussed the drop-off point with the driver, she asked me when we were close to the exit, which exit to take. I am unexperienced in driving and told her the wrong exit. We ended up having to use google maps and the ride took 20 minutes longer.",-2,White/Caucasian,Canada,Canadian,N/A,,,
3391,Man,[Decline to Answer],S19,20,One night I was very drunk and vomited in the backseat of a taxi. The driver was very angry and started yelling at me. I paid him about $700 to help cover the cost of cleaning it.,-2,White/Caucasian,Canada,Canadian,[Decline to Answer],,,
3401,Woman,[Decline to Answer],S19,19,"The time my father drove an hour to my dorm to yell at me for loosing my phone and not contacting him first. I lost it the day before and spent the entire day looking for it before deciding to tell him, which apparently wasn't the right approach. He was livid, and made many criticisms about who I was.",-2,"East Asian (e.g. Chinese, Japanese, Korean)",Canada,Chinese,[Decline to Answer],,,
3403,Man,[Decline to Answer],S19,22,"The events that most frequently come up are bad memories from my childhood. These events are from 10-15 years ago and oftenr come into my mind and are hard to get rid of. I think I remember things pretty well, but it seems that my memory is mostly of the context around the event and a few specific moments inside a longer time period. These events are usually with people i am close with, friends and family although also often include people who were a part of my life for shorter amoutns of time.",-2,White/Caucasian,Canada,Scottish,[Decline to Answer],,,
3404,Woman,[Decline to Answer],S19,18,"I was perched behind my mom after she had picked me up after kindergarten. I was perched behind her on the chair playing with her hair. Out of annoyance, she swung her arm back and not knowing I was standing on the arm rests, knocked me off the chair. She apologized but had to return to work, telling me to play elsewhere.",-2,"East Asian (e.g. Chinese, Japanese, Korean)",China,Chinese,[Decline to Answer],,,
3407,Man,[Decline to Answer],S19,36,"it involves memories of alcoholism and broken memories of drinking binges.  These memories will simply 'pop' into my mind - sometimes vivid, sometimes not.",-2,White/Caucasian,Canada,Canadian,[Decline to Answer],,,
3409,Man,[Decline to Answer],S19,19,"In the memory, I felt very hopeless, weak, and powerless. It felt as if my life was being taken away but I'm still alive to see all of it. The memory felt like nothing but death, when I thought of it, I would rather physically die (due to the emotional and psychological stress and pain that it was causing me).",-2,"East Asian (e.g. Chinese, Japanese, Korean)",Canada,Chinese,[Decline to Answer],,,
3414,I prefer not to answer,[Decline to Answer],S19,18,"Memories that my feeling got hurt, trauma",-2,[Decline to Answer],South Korea,[Decline to Answer],[Decline to Answer],,,
3417,Woman,N/A,S19,18,When i hooked up with this guy who was my friend and then afterwards he started ghosting me and i was like forget the other stuff lets just be friends and he was still being a dick so i went a lil crazy on him (just a lil) and he thinks im a lil crazy now,-2,"South Asian (e.g. Pakistani, Indian)",Canada,Indian (from India),[Decline to Answer],,,
3419,Woman,[Decline to Answer],S19,21,"recollection of a major conflict my parents had a few years ago, where one accused the other of cheating. one slept in the basement for a few weeks, the other lashed out at my siblings and i with emotional rage. i questioned everything i knew about love and relationships, and watched the worst parts of my parents' personalities emerge. rage, violence, hate, ignorance. realized my mom might have BPD, i asked my extended family to help me get help and i was shut down.",-2,West Indian/Caribbean,Canada,West Indian/Caribbean,[Decline to Answer],,,
3421,Man,[Decline to Answer],S19,25,I went to Korea when I was very young to go to an art school I remember being yelled at by my teacher frequently when a bunch of other students were around.,-2,"East Asian (e.g. Chinese, Japanese, Korean)",Canada,Canadian,[Decline to Answer],,,
3425,Woman,[Decline to Answer],S19,23,My dog having a seizure on the ground in front of where I was living in Waterloo,-2,"East Asian (e.g. Chinese, Japanese, Korean)",South Korea,South Korean,[Decline to Answer],,,
3433,Woman,[Decline to Answer],S19,21,Break up with an ex during which I acted out desperately. Said some questionable things and begged/cried for another chance. In the end none of these things worked and we broke up anyway.,-2,"East Asian (e.g. Chinese, Japanese, Korean)",China,Chinese,[Decline to Answer],,,
3612,Woman,[Decline to Answer],S19,20,losing my brother at the mall in the states,-2,White/Caucasian,Canada,Canadian,[Decline to Answer],,,
3620,Woman,[Decline to Answer],S19,27,Memory of my father watching me shower and telling me how to do it.,-2,White/Caucasian,Canada,Canadian,[Decline to Answer],,,
3621,Woman,[Decline to Answer],S19,21,It was an embarrassing memory of me being disrespectful to a teacher. I am very embarrassed about it and it often makes me feel upset. I said something disrespectful to a teacher when I was in the 6th grade and it stuck with me.,-2,West Indian/Caribbean,Canada,Trinidadian,[Decline to Answer],,,
3629,Woman,n/a,S19,20,my parents fighting,-2,"South Asian (e.g. Pakistani, Indian)",Canada,Indian (from India),[Decline to Answer],,,
3631,Woman,[Decline to Answer],S19,22,A panic attack I had in high school. I was very stressed in gym class and my teacher got very frustrated with me and it wasn't helpful. I had to go home.,-2,White/Caucasian,Canada,Canadian,[Decline to Answer],,,
3634,Woman,[Decline to Answer],S19,19,"In my part-time job last week, the chief said something very unfair to me. He supposed a server should know how to do everything including making food, while he does not know how to make the food and do the decorations himself.",-2,"East Asian (e.g. Chinese, Japanese, Korean)",China,Chinese,[Decline to Answer],,,
3637,Woman,[Decline to Answer],S19,22,"When my mother was very ill with stage 4 cancer and our family was constantly in and out of the hospital monitoring her condition and were there for support. From time to time I experience those vivid memories return to my thoughts without any effort. Memories of our family crowded around her hospital bed, the nurses, doctors and surgeons giving us information hourly and the way the illness progressed and its affects on our family.",-2,"South Asian (e.g. Pakistani, Indian)",Canada,Canadian,[Decline to Answer],,,
3639,Woman,N/A,F19,20,"I have a memory of my puppy jumping off the couch in which he sprained his leg. I am constantly worried about it happening again, which is why I always think about it. Whenever I see him on the couch, the memory pops into my mind because I am anxious it will happen again.",-2,"East Asian (e.g. Chinese, Japanese, Korean)",Canada,Cantonese,N/A,,,
3640,Woman,[Decline to Answer],F19,20,My mom telling me that she has breast cancer.,-2,White/Caucasian,Canada,Canadian,[Decline to Answer],,,
3646,Man,[Decline to Answer],F19,22,"Usually it is some form of mistake or embarrassment that I have gone through, the most common one is in 4th or 5th grade when I hit another kid for no reason. To this day I have no idea why I did this and it still comes up in my mind almost weekly.",-2,White/Caucasian,Canada,Canadian,[Decline to Answer],,,
3648,Woman,[Decline to Answer],F19,21,"it happens so often that it's hard to describe just one. I will randomly remember minuscule details from any time in the past. the most recurring memory that randomly pops up is when i was little and my uncle committed suicide, which i was just told 15 years later, last month. I only remember sitting on a stool in my grandparents family room. nothing else except that stool.",-2,"South Asian (e.g. Pakistani, Indian)",Canada,Indian (from India),[Decline to Answer],,,
3649,Woman,[Decline to Answer],F19,21,"Being admitted to inpatient care at GRH multiple times for weeks, for the past year. They were all involuntary stays and horrible.",-2,"South Asian (e.g. Pakistani, Indian)",USA,Canadian,[Decline to Answer],,,
3650,Woman,[Decline to Answer],F19,22,"I remember the details of the event, such as who I was with, what we were doing, the things we talked about, etc. I remember how the event made me feel. I remember finer details, such as what we were wearing or certain smells as well.",-2,"South Asian (e.g. Pakistani, Indian)",India,[Decline to Answer],[Decline to Answer],,,
3651,Man,[Decline to Answer],F19,21,I remember my crush approaching me while walking to my next class and hitting on me. I didn't understand the situation and brushed her off. I keep having these regrets of not saying how I really felt to her. That event has haunted me for the past year.,-2,"East Asian (e.g. Chinese, Japanese, Korean)",Canada,Canadian,[Decline to Answer],,,
3653,Woman,[Decline to Answer],F19,21,when my dog got hit by a car,-2,White/Caucasian,Canada,Canadian,[Decline to Answer],,,
3654,Woman,[Decline to Answer],F19,21,"Being anxious, and having to move back from Montreal. The feeling of panic attacks.",-2,White/Caucasian,Canada,Scottish,[Decline to Answer],,,
3661,Woman,n/a,F19,22,A fight with my boyfriend that almost lead the end of our relationship.,-2,White/Caucasian,Canada,Canadian,n/a,,,
3666,Woman,[Decline to Answer],F19,22,"I was hit by a car in a really bad car accident several years ago. I remember it a lot. I think about it when I am in a car, and when I am alone or with friends and family.",-2,White/Caucasian,Canada,Canadian,[Decline to Answer],,,
3668,Woman,N/A,F19,21,A breakup,-2,Mixed,Canada,West Indian/Caribbean,[Decline to Answer],,,
3676,Woman,[Decline to Answer],F19,21,"Just one year ago, my cousin passed away in a car accident and I was notified at work. I remember driving to my cousin's house and meeting up with my family. The memory of the tears and the feeling of that sadness often cross my mind. Sometimes, the recollection is not sad but a memory of when he was still around and the joy he brought.",-2,"East Asian (e.g. Chinese, Japanese, Korean)",Canada,Canadian,[Decline to Answer],,,
3678,Woman,[Decline to Answer],F19,22,childhood trauma.,-2,Mixed,Canada,Canadian,[Decline to Answer],,,
3689,Woman,[Decline to Answer],F19,21,"i have memories of my childhood events such as birthdays, moving to a new city, school friends and my family.",-2,"South Asian (e.g. Pakistani, Indian)",India,Indian (from India),[Decline to Answer],,,
3691,Woman,[Decline to Answer],F19,19,I was in the hospice with my grandma the night she passed away and had to stay to clean out her room and drive my family home.,-2,White/Caucasian,Canada,Canadian,[Decline to Answer],,,
3692,Woman,[Decline to Answer],F19,20,memory is finding out that I was cheated on multiple times. So the actual memory is the thought of that person with my significant other,-2,White/Caucasian,Canada,Canadian,[Decline to Answer],,,
3696,Man,[Decline to Answer],F19,23,"Truthfully I might've picked the wrong answer, I'm really sorry. My understanding was when you're just hanging out and an unrelated memory pops into your head, for example: I'll be driving when suddenly I'm getting a flashback of an unpleasant interaction that I had with a bullyish coworker pops into my mind. I will relive the experience, the feelings of embarrassment and consider if there might've been better responses.",-2,White/Caucasian,Canada,Canadian,[Decline to Answer],,,
3698,Woman,[Decline to Answer],F19,20,It's a really intrusive memory of waking up in a hospital bed after knee surgery. I feel panicked and trapped and emotional and scared and in immense amounts of pain. This is a common recurrence.,-2,White/Caucasian,Canada,Canadian,[Decline to Answer],,,
3708,Woman,[Decline to Answer],F19,22,"Loss of friends in an accident, so it's the memory of that time of grieving and trauma.",-2,White/Caucasian,Canada,Canadian,[Decline to Answer],,,
3713,Man,[Decline to Answer],F19,19,The event was a very bad thing that happened to me. I felt very ashamed for what happened. I wish I could change what happened.,-2,"South Asian (e.g. Pakistani, Indian)",Canada,Other not listed,Punjabi,,,
3718,Woman,[Decline to Answer],F19,22,"The situation where I was in high school and my boyfriend had conflicts with my parents in front of all the teachers and classmates in the same grade. At first, it was only a peaceful conversation between me and my boyfriend by convincing him to apologize for his misbehaviour to my parent previously. Maybe he lost his patience at that time and the conflict occurred during my conversation between by teacher that he disrupted and appeared furiously but speechlessly. The event ends up with my father sent me out of the place under the aguardiente of one of my teacher who stopped the action of my boyfriend and he was absent from school for a week.",-2,"East Asian (e.g. Chinese, Japanese, Korean)",China,Japanese,[Decline to Answer],,,
3719,Woman,[Decline to Answer],F19,21,"Positive memories with my ex, as well as negative memories of the abuse that my ex made me go through.",-2,White/Caucasian,Canada,Polish,[Decline to Answer],,,
3720,Woman,[Decline to Answer],F19,18,thinking about my relationship with my ex. how different things used to be and how I am being pushed to grow into a different and better person but it is hard and is exhausting at times.,-2,Black/African,Canada,Jamaican,[Decline to Answer],,,
3721,Woman,[Decline to Answer],F19,22,A bad date,-2,"South Asian (e.g. Pakistani, Indian)",Canada,Indian (from India),[Decline to Answer],,,
3723,Woman,[Decline to Answer],F19,17,"I was in an argument with my ex, and I did not want to argue anymore so I told him I was going to get fresh air. He did not like this and wouldn't let me leave. He grabbed my arm and it caused me to fall down some stairs. He wasn't concerned.",-2,Mixed,Canada,Canadian,[Decline to Answer],,,
3726,Woman,[Decline to Answer],F19,17,There was a guy i worked with and became friends with him. Everything was going well and we were good friends. One day he just stopped talking to me and he comes to my mind often without reason,-2,Hispanic,USA,Hispanic,[Decline to Answer],,,
3727,Woman,[Decline to Answer],F19,17,"A few years ago, my aunt committed suicide. The memory is of the night my mom received the phone call from her brother, letting us know. It was approximately 1 am so we knew something was wrong. She immediately began to cry so I hugged her and the most vivid part of the memory is the feeling of her shoulders shaking while she was crying.",-2,"South Asian (e.g. Pakistani, Indian)",Canada,Indian (from India),[Decline to Answer],,,
3728,Woman,n/a,F19,17,"The memory took place in the backyard of an unoccupied house, between the hours of 4-5AM. I was calm, but more so because I was already trying to ignore what was about to happen. I remember saying the words, ""No,"" and, ""stop.""",-2,"South Asian (e.g. Pakistani, Indian)",Pakistan,Pakistani,n/a,,,
3730,Woman,[Decline to Answer],F19,18,Parents having a big fight,-2,"South Asian (e.g. Pakistani, Indian)",Canada,Canadian,[Decline to Answer],,,
3731,Man,[Decline to Answer],F19,28,"Meeting my ex-girlfriend for a few days during last Christmas season. I remember being with her and her family, the destinations we visited, the things we ate, the things we did. I remember quite vividly leaving to visit her and returning and the resulting aftermath of that decision.",-2,"South Asian (e.g. Pakistani, Indian)",Saudi Arabia,Canadian,[Decline to Answer],,,
3734,Woman,[Decline to Answer],F19,18,family member of mine on drugs and falling on several occasions,-2,White/Caucasian,Canada,Canadian,[Decline to Answer],,,
3739,Woman,[Decline to Answer],F19,18,"It was about how my cousin molested me when I was younger. He took advantage of me when my parents were not home, and then he told me to not tell anyone.",-2,"South Asian (e.g. Pakistani, Indian)",India,Indian (from India),[Decline to Answer],,,
3744,Woman,[Decline to Answer],F19,19,"i was in 6th grade, some senior boys were teasing me and calling me fat.",-2,"South Asian (e.g. Pakistani, Indian)",India,Indian (from India),[Decline to Answer],,,
3746,Woman,[Decline to Answer],F19,18,"My significant other cheated on me on new years night with his ex girlfriend.
I found out a month and a half later after school. I was devastated and crying for weeks. 
The traumatizing memory of me finding out keeps coming back to me.",-2,"South Asian (e.g. Pakistani, Indian)",India,American,[Decline to Answer],,,
3749,Woman,[Decline to Answer],F19,18,"My boyfriend and I broke up about 7 months ago. While we were broken up he had sexual relations with another girl. We got back together afterwards, but I have found it hard to forget about that ever since",-2,White/Caucasian,Canada,Canadian,[Decline to Answer],,,
3752,Woman,[Decline to Answer],F19,19,"The memory involves me with a bunch of friends watching the movie ""Fire Dog"" and strong feelings of fear while watching the movie. It includes parts of the movie in the memory and the setting in which we were watching the movie and the campfire before the movie.",-2,White/Caucasian,Switzerland,Canadian,[Decline to Answer],,,
3753,Woman,[Decline to Answer],F19,21,Me and my twin sister were at my grandparents house with my dad and older sister. My older sister tattled on me and my twin sister to my dad about something we had done wrong. Then my dad got very angry at us and we ran downstairs into the bathroom and locked the door. I was so scared I wrapped a blanket around myself and I was shaking.,-2,White/Caucasian,Canada,Canadian,[Decline to Answer],,,
3754,Woman,[Decline to Answer],F19,18,"A bad memory that I want to erase from my head. To sum, I felt very betrayed by my teammates, I took the blame for emotionally hurting one of our cherished teachers, and it ruined my final impression of the group. This group left me reflecting upon how my selfless actions somehow turned into something selfish.",-2,"East Asian (e.g. Chinese, Japanese, Korean)",Canada,Canadian,[Decline to Answer],,,
3755,Woman,N/A,F19,18,"In the middle of the night, I was woken up by the police knocking at my door.  They told me and my family that my brother had died.  I felt like I couldn't breathe.  For a couple of hours, after I calmed down, there were councilors and other people from various services sitting at my house talking us through different ways of coping, etc.",-2,White/Caucasian,Canada,Canadian,N/A,,,
3759,Woman,[Decline to Answer],F19,18,"Powerless
-Lost
-Confused",-2,Middle Eastern,Canada,Arab,[Decline to Answer],,,
3764,Man,[Decline to Answer],F19,19,Texting my old ex-girlfriend whilst sitting on video chat with her trying to talk her down from self-harm and suicidal thoguhts. Late at night with a lot of stress.  She leaves the chat and the memory becomes mixed with another which were vague texts from her a week later about a similar topic.,-2,White/Caucasian,Canada,Canadian,[Decline to Answer],,,
3765,Woman,[Decline to Answer],F19,18,"Just popped into my head when I was thinking about a different instance where something embarrassing had happened. It was as if my brain wanted me to recall another time I was feeling insecure, even though it had no relation to the situation I was originally thinking about. The memory happened a few years ago and I haven't thought about it in a while.",-2,White/Caucasian,Canada,British/English,[Decline to Answer],,,
3766,Woman,[Decline to Answer],F19,19,"My ex and I had an argument about when he slept over at a girls house, and he thought it was okay.",-2,White/Caucasian,Canada,Canadian,[Decline to Answer],,,
3767,Woman,[Decline to Answer],F19,18,"it makes me panicked, often anxious
such memories are of the times in the past when something did not go according to plan which led to anxiety",-2,"South Asian (e.g. Pakistani, Indian)",Canada,Indian (from India),[Decline to Answer],,,
3771,Woman,[Decline to Answer],F19,18,"the memory was a traumatic event from my childhood. it was a big part of my memory until i hit a certain age, which by that point i completely forgot about it. then while listening to a presentation about childhood trauma it all hit at once.",-2,"East Asian (e.g. Chinese, Japanese, Korean)",South Korea,Canadian,[Decline to Answer],,,
3774,Man,[Decline to Answer],F19,17,"Any time where I have felt socially anxious around friends and feel as if I did something wrong in the moment, the most frequent memories will be the most recent of this type.",-2,White/Caucasian,Canada,Serbian,[Decline to Answer],,,
3775,Woman,[Decline to Answer],F19,18,I did something I regret and felt guilty.,-2,White/Caucasian,Canada,Canadian,[Decline to Answer],,,
3777,Woman,[Decline to Answer],F19,18,It was about 3 weeks before I was going to start my first year of high school. That night I drank over 30 aspirins and was taken to the hospital. I was in a children's mental ward for 14 days.,-2,White/Caucasian,Canada,Serbian,[Decline to Answer],,,
3778,Woman,[Decline to Answer],F19,18,a past memory of being bullied in a group chat by past friends. The bullying was about having anxiety and depression when I was in highschool,-2,"Southeast Asian (e.g. Filipino, Vietnamese, Indonesian)",Canada,Canadian,[Decline to Answer],,,
3779,Woman,[Decline to Answer],F19,18,I thought about the time that someone hurt me emotionally.,-2,Hispanic,USA,Latin-American,[Decline to Answer],,,
3780,Woman,[Decline to Answer],F19,18,The most recent memory happened around a month ago while I was awake. The memory was upsetting and seemed to stick in my head. The memory lasted approx. 1 minute.,-2,White/Caucasian,Canada,Canadian,[Decline to Answer],,,
3781,Woman,[Decline to Answer],F19,18,Personal bad experiences relating to my relationship.,-2,White/Caucasian,Canada,Canadian,[Decline to Answer],,,
3783,Woman,[Decline to Answer],F19,18,"The last time i saw my ex boyfriend. We ended on bad terms, i can still remember the last thing he said to me where and when. I don’t even care for him anymore but my mind is uneasy because he refuses to apologize for what he did and it left me feeling as if he took a part of me.",-2,White/Caucasian,Canada,Hungarian,[Decline to Answer],,,
3784,Man,[Decline to Answer],F19,19,I gave a presentation and said something really really awkward and stupid.,-2,Other not listed above,China,Chinese,atheist,,,
3788,Man,[Decline to Answer],F19,19,I had to swerve off the road and into the ditch with my car.,-2,White/Caucasian,Canada,Canadian,[Decline to Answer],,,
3790,Woman,[Decline to Answer],F19,17,The memory was of me and a funeral with my family for a close loved one.,-2,"South Asian (e.g. Pakistani, Indian)",Canada,Indian (from India),[Decline to Answer],,,
3793,Man,[Decline to Answer],F19,17,"I was with my parents and my sister in a NoFrills, I decided to wander off on my own. When I looked back, I couldn't find them and I got really scared. I was panicking until I was luckily able to find them.",-2,"East Asian (e.g. Chinese, Japanese, Korean)",Canada,Chinese,[Decline to Answer],,,
3794,Woman,[Decline to Answer],F19,24,"My grandma passed away in February 2019, I am always so sad, because I always think my grandma is the only person who always support me. This is true love.",-2,"East Asian (e.g. Chinese, Japanese, Korean)",China,Other not listed,Singapore,,,
3795,I prefer not to answer,[Decline to Answer],F19,19,"I had to leave an final exam or midterm early because person A and I have terrible relations and in order to avoid reunion as much as possible despite any possible risk academically. Me and person A were in the same program and as a result, it makes it difficult to completely avoid all sorts of interaction even after I have moved out of the residence that we both used to live in. Even when I'm living nowhere close to person A, there is the chance that we may encounter together because we go to the same institute.",-2,"East Asian (e.g. Chinese, Japanese, Korean)",Hong Kong,[Decline to Answer],[Decline to Answer],,,
3803,Woman,[Decline to Answer],F19,21,when I got into my severe skiing accident about 7 years ago and got a severe concussion.,-2,White/Caucasian,Canada,Portuguese,[Decline to Answer],,,
3804,Woman,[Decline to Answer],F19,18,Very often I remember the stress I went through during my grade 12 year. Whether it was about studying or other personal dilemmas I was going through. I have been having similar experiences during my first year of university which has made me more stressed.,-2,Middle Eastern,Iran,Iranian,[Decline to Answer],,,
3813,Woman,[Decline to Answer],F19,17,"i am able to picture the event itself in my head. although, it does not feel like im reliving it at any point. i do feel like the exact same feelings i felt then, momentarily come back.",-2,"South Asian (e.g. Pakistani, Indian)",Germany,Other not listed,pakistani,,,
3815,Woman,[Decline to Answer],F19,18,it is from traumatic events from when I was 16 and from when I was younger in my childhood.,-2,White/Caucasian,Canada,German,[Decline to Answer],,,
3820,Woman,[Decline to Answer],F19,18,I would be studying and a the thought of the event would just pop into my mind and would not let me focus.,-2,"South Asian (e.g. Pakistani, Indian)",Pakistan,Pakistani,[Decline to Answer],,,
3821,Man,not sure why this box is prompting me to answer... unless it knows something I don't...,F19,47,I was sexually abused as a child - I have an oral trigger that brings the memory of the abuse back to me.,-2,Hispanic,Other South American country,Canadian,please have your IT dept look into coding - clearly wants all boxes checked though some may not apply to all subjects...,,,
3822,Woman,[Decline to Answer],F19,19,I was in a car accident. The car hit a tree. I remember everyone screaming and the sound that the car made when it hit the tree.,-2,White/Caucasian,Canada,Dutch,[Decline to Answer],,,
3828,Woman,[Decline to Answer],F19,18,Being dumped and bullied because of it afterward the same day. Also the night when I lived in a shelter due to divorce,-2,White/Caucasian,Canada,Canadian,[Decline to Answer],,,
3829,Man,[Decline to Answer],F19,18,I made a situation awkward that was going rather well. It terminated any chances of any kind of pleasurable outcome to be achieved. It eats away at me almost everyday.,-2,White/Caucasian,Canada,Greek,[Decline to Answer],,,
3831,Man,NIL,F19,23,The memory of someone glaring at me and then turning around and walking away forever.,-2,"Southeast Asian (e.g. Filipino, Vietnamese, Indonesian)",Other Asian country,Other not listed,Singaporean,,,
3833,Woman,[Decline to Answer],F19,18,"I failed a driving exam in only one category, which felt unfair to me since there had only been two minor mistakes and everything else had been done well. After not passing, I felt as though everything was going wrong in my life due to other minor problems that happened to take place at the same time. I felt that even when I tried my best, and felt confident in my abilities, it wouldn't be enough to succeed in my life.",-2,White/Caucasian,Canada,Canadian,[Decline to Answer],,,
3835,Woman,N/A,F19,18,Embarrassing situations are usually the ones that come to mind. In this particular one it features me embarrassing myself in front of my entire grade 2 class reading circle.,-2,White/Caucasian,Canada,Scottish,N/A,,,
3836,Woman,[Decline to Answer],F19,18,"A very negative event regarding my puppy, resulting in additional stress and worrying constantly. The memory of the event goes through my head whenever I see him.",-2,White/Caucasian,Canada,Canadian,[Decline to Answer],,,
3838,Woman,n/a,F19,19,"Having a big falling out with someone I was very close with, was a strong start to the friendship then slowly declined to an almost non-existent relationship while I was also struggling in high school socially made it more painful when they were not around like they used to be.",-2,White/Caucasian,Canada,Canadian,n/a,,,
3839,Man,[Decline to Answer],F19,17,Me cutting off my friend for no proper reason at all. Me being extremely rude and not being able to apologize to them.,-2,"South Asian (e.g. Pakistani, Indian)",Canada,[Decline to Answer],[Decline to Answer],,,
3843,Woman,system error I don't need to self identify,F19,33,It was about a very traumatic period of my life. It was a period that somehow I had to live against my priorities.,-2,Other not listed above,Turkey,Other not listed,I am Turkish but being Turkish is not a racial thing.  I don't identify myself with my race or any of the races above,,,
3847,Woman,[Decline to Answer],F19,18,I often have memories of my ex who cheated on me,-2,White/Caucasian,Canada,Canadian,[Decline to Answer],,,
3849,Woman,[Decline to Answer],F19,17,the event popped into my head and i lost all of my awareness inn the real world and just had the traumatic memory.,-2,Mixed,Canada,Other not listed,guyanese canadian,,,
3850,Man,[Decline to Answer],F19,18,A person I used to be with in high school. Regular events and activities we did together. Many different places we went to together.,-2,"East Asian (e.g. Chinese, Japanese, Korean)",Canada,Chinese,[Decline to Answer],,,
3853,I prefer not to answer,a female,F19,22,"me when I was young
relationships I've been in 
where i can see myself in the future 
sad memories",-2,Mixed,Israel,[Decline to Answer],canadian,,,
3855,Woman,[Decline to Answer],F19,19,"I have had memory recollections of arguments, harassment i've experienced, sexual assault and other very low points in my life.",-2,"South Asian (e.g. Pakistani, Indian)",Pakistan,Pakistani,[Decline to Answer],,,
3857,Man,[Decline to Answer],F19,18,I was hit by a car at my own fault in view of many different people and families.,-2,White/Caucasian,Canada,Canadian,[Decline to Answer],,,
3859,Woman,[Decline to Answer],F19,18,"A memory of a past relationship. Actions, tones, words, or facial expressions give me deja vu of this relationship out of no where. A specific memory would be spending time with that person in their backyard. Sitting with them and talking seding those behaviours or persona.",-2,White/Caucasian,Canada,Canadian,[Decline to Answer],,,
3860,Woman,[Decline to Answer],F19,17,Boyfriend broke up with me,-2,White/Caucasian,Canada,Canadian,[Decline to Answer],,,
3862,Woman,[Decline to Answer],F19,18,When my sister fell sick for the first time. It is a memory I can't help. I feel helpless and my chest becomes heavy.,-2,"South Asian (e.g. Pakistani, Indian)",India,Canadian,[Decline to Answer],,,
3863,I prefer not to answer,[Decline to Answer],F19,19,The memory of losing my best friend after realizing she wasn't the same or a good friend of mine. Me and a few of her other friends had tried to confront her of her recent behaviour and how much she had changed for the worst. This resulted in an argument that wasn't able to be resolved. We just stopped talking to her and I have not talked to her since.,-2,White/Caucasian,Canada,Other not listed,Bosnian,,,
3864,Woman,[Decline to Answer],F19,18,"Fought against a lot of anxiety in order to ask the guidance counselor for extra help which I had been previously offered. I was terrified when asking her. Her response was to ask me ""what are you going to do next year?"" I was mortified and never went back.",-2,White/Caucasian,USA,Canadian,[Decline to Answer],,,
3866,Woman,[Decline to Answer],F19,19,I remembered the setting and about what time of year it occurred. How I felt during that time was very vivid. I remember a vague details about what happened. I don't remember the specifics about this memory.,-2,"Southeast Asian (e.g. Filipino, Vietnamese, Indonesian)",Canada,Canadian,[Decline to Answer],,,
3867,Man,[Decline to Answer],F19,19,A family member becoming sick in my childhood; remembering what it was like hearing the results from the diagnosis.,-2,"East Asian (e.g. Chinese, Japanese, Korean)",South Korea,South Korean,[Decline to Answer],,,
3868,Woman,[Decline to Answer],F19,19,"The guy I used to be in a long distance relationship came out as gay. I was in a bad state of mind at the time and didn't take the news well. At first I pleaded him to stay in the relationship, then after realizing how crazy of a request that was I was overcome with guilt and decided it was best for us to stop talking all together.",-2,"South Asian (e.g. Pakistani, Indian)",Canada,Sri Lankan,[Decline to Answer],,,
3875,Woman,[Decline to Answer],F19,18,"I was assaulted, and I kept it to myself for a long time.  Eventually, I told a teacher, and after many protocols, I spoke with many figures of authority.  The memory that pops into my mind often is the day it all came out, as well as the conversations I had with people regarding this topic.",-2,"Southeast Asian (e.g. Filipino, Vietnamese, Indonesian)",Phillipines,Filipino,[Decline to Answer],,,
3883,Woman,[Decline to Answer],F19,18,Thinking back when I was younger and mistakes I made and still feeling the embarrassment today. Or thinking of how I was treated when I was younger and why I was treated that way.,-2,"East Asian (e.g. Chinese, Japanese, Korean)",Canada,Japanese,[Decline to Answer],,,
3885,Woman,n/a,F19,27,"I frequently recall the day I found out my grandpa was in the hospital and I had to say goodbye over the phone. I recall every feeling that I felt - guilt, anger, helplessness, ashamed, sad",-2,White/Caucasian,Canada,Canadian,n/a,,,
3886,Man,Does not apply to me,F19,19,The memory that keeps popping in my head is when I was getting molested. The way the situatiuon happened and how I screamed and how the person did not stop. The memory disappeared for a very long time but it recently just started to pop up in my head.,-2,Black/African,Ethiopia,Black/African-Canadian,[Decline to Answer],,,
3891,Man,[Decline to Answer],F19,17,Being cheated on,-2,White/Caucasian,Canada,Canadian,[Decline to Answer],,,
3895,Man,N/A,F19,17,I was sent to the hospital,-2,"Southeast Asian (e.g. Filipino, Vietnamese, Indonesian)",Canada,Vietnamese,[Decline to Answer],,,
3897,Woman,[Decline to Answer],F19,17,"I have been having some traumatic recollections from my past ,Things that I do not want to remember.
I had thought that I had gotten over these issues but as it turns out I hadn't actually,which led to me not being able to concentrate on my school work.",-2,"South Asian (e.g. Pakistani, Indian)",India,Indian (from India),[Decline to Answer],,,
